Timestamp                	Data           	
2020-05-14 17:03:05:631  	Number with No flush: 50. 
2020-05-14 17:03:05:652  	Number with No flush: 49. 
2020-05-14 17:03:05:673  	Number with No flush: 48. 
2020-05-14 17:03:05:694  	Number with No flush: 47. 
2020-05-14 17:03:05:715  	Number with No flush: 46. 
2020-05-14 17:03:05:736  	Number with No flush: 45. 
2020-05-14 17:03:05:757  	Number with No flush: 44. 
2020-05-14 17:03:05:778  	Number with No flush: 43. 
2020-05-14 17:03:05:799  	Number with No flush: 42. 
2020-05-14 17:03:05:820  	Number with No flush: 41. 
2020-05-14 17:03:05:841  	Number with No flush: 40. 
2020-05-14 17:03:05:862  	Number with No flush: 39. 
2020-05-14 17:03:05:883  	Number with No flush: 38. 
2020-05-14 17:03:05:904  	Number with No flush: 37. 
2020-05-14 17:03:05:925  	Number with No flush: 36. 
2020-05-14 17:03:05:946  	Number with No flush: 35. 
2020-05-14 17:03:05:967  	Number with No flush: 34. 
2020-05-14 17:03:05:988  	Number with No flush: 33. 
2020-05-14 17:03:06:009  	Number with No flush: 32. 
2020-05-14 17:03:06:030  	Number with No flush: 31. 
2020-05-14 17:03:06:050  	Number with No flush: 30. 
2020-05-14 17:03:06:071  	Number with No flush: 29. 
2020-05-14 17:03:06:092  	Number with No flush: 28. 
2020-05-14 17:03:06:113  	Number with No flush: 27. 
2020-05-14 17:03:06:134  	Number with No flush: 26. 
2020-05-14 17:03:06:156  	Number with No flush: 25. 
2020-05-14 17:03:06:177  	Number with No flush: 24. 
2020-05-14 17:03:06:198  	Number with No flush: 23. 
2020-05-14 17:03:06:219  	Number with No flush: 22. 
2020-05-14 17:03:06:240  	Number with No flush: 21. 
2020-05-14 17:03:06:261  	Number with No flush: 20. 
2020-05-14 17:03:06:282  	Number with No flush: 19. 
2020-05-14 17:03:06:303  	Number with No flush: 18. 
2020-05-14 17:03:06:324  	Number with No flush: 17. 
2020-05-14 17:03:06:345  	Number with No flush: 16. 
2020-05-14 17:03:06:366  	Number with No flush: 15. 
2020-05-14 17:03:06:387  	Number with No flush: 14. 
2020-05-14 17:03:06:408  	Number with No flush: 13. 
2020-05-14 17:03:06:429  	Number with No flush: 12. 
2020-05-14 17:03:06:450  	Number with No flush: 11. 
2020-05-14 17:03:06:471  	Number with No flush: 10. 
2020-05-14 17:03:06:492  	Number with No flush: 9. 
2020-05-14 17:03:06:513  	Number with No flush: 8. 
2020-05-14 17:03:06:534  	Number with No flush: 7. 
2020-05-14 17:03:06:555  	Number with No flush: 6. 
2020-05-14 17:03:06:576  	Number with No flush: 5. 
2020-05-14 17:03:06:597  	Number with No flush: 4. 
2020-05-14 17:03:06:618  	Number with No flush: 3. 
2020-05-14 17:03:06:639  	Number with No flush: 2. 
2020-05-14 17:03:06:660  	Number with No flush: 1. 
